OK;好
YES;是
NO;否
CANCEL;取消
SAVE;保存
IMAGES;图片
LANGUAGE;语言:
ADD_IMAGES;添加图片
ADD_IMAGES_TITLE;添加图片
ADD_FOLDER;添加文件夹
ADD_FOLDER_TITLE;添加文件夹
ADD_ZIP;添加 ZIP
ADD_ZIP_TITLE;添加图片压缩包
IMAGE_DROP_HELP;拖拽图片到此处
CLEAR;清除
CLEAR_TITLE;清除所有图片
DELETE;删除
DELETE_TITLE;删除选中图片
REPLACE_FILES_PROMPT;替换现有文件？
DISPLAY_OUTLINES;轮廓:
SCALE;放大:
SHOW_SPRITES;动画
SPRITE_NAME;精灵名称:
ANIMATION_SPEED;动画速度:
TEXTURE_NAME;纹理名称:
TEXTURE_NAME_TITLE;纹理导出名称
TEXTURE_FORMAT;纹理格式:
TEXTURE_FORMAT_TITLE;纹理导出格式
REMOVE_FILE_EXT;移除文件后缀:
REMOVE_FILE_EXT_TITLE;移除精灵名称中后缀
PREPEND_FOLDER;前置文件夹名称:
PREPEND_FOLDER_TITLE;将文件夹名称添加到文件名
BASE64_EXPORT_TITLE;导出base64格式(如果支持)
BASE64_EXPORT;导出base64
TINIFY_TITLE;Tinify 用法 https://tinypng.com（压缩png）
TINIFY;Tinify
TINIFY_KEY_TITLE;TinyPNG key https://tinypng.com/developers 
TINIFY_KEY;TinyPNG key
DISABLE_SMOOTHING;禁用平滑
DISABLE_SMOOTHING_TITLE;禁用图像平滑
SCALE;放大:
SCALE_TITLE;基础纹理缩放
FILTER;滤镜:
FILTER_TITLE;纹理应用过滤器
FORMAT;格式:
FORMAT_TITLE;导出格式
FILE_NAME;文件名:
FILE_NAME_TITLE;输出文件名
SAVE_PATH;保存路径
SAVE_PATH_TITLE;保存输出路径
WIDTH;宽:
WIDTH_TITLE;纹理最大宽
HEIGHT;高:
HEIGHT_TITLE;纹理最大高
FIXED_SIZE;固定尺寸:
POWER_OF_TWO;二次幂:
POWER_OF_TWO_TITLE;纹理尺寸为2的幂数
FIXED_SIZE_TITLE;纹理固定尺寸
PADDING;内边距:
PADDING_TITLE;精灵内边距
EXTRUDE;拉伸:
EXTRUDE_TITLE;精灵的边框像素尺寸拉伸
ALLOW_ROTATION;允许旋转:
ALLOW_ROTATION_TITLE;允许精灵旋转
ALLOW_TRIM;允许修剪:
ALLOW_TRIM_TITLE;允许从精灵边框中删除透明像素
ALPHA_THRESHOLD;透明度阈值:
ALPHA_THRESHOLD_TITLE;低于此值的像素将视为透明
TRIM_MODE;修剪模式:
TRIM_MODE_TITLE;修剪模式
DETECT_IDENTICAL;相同检测:
DETECT_IDENTICAL_TITLE;检测相同的精灵
PACKER;打包:
PACKER_TITLE;打包
PACKER_METHOD;方法:
PACKER_METHOD_TITLE;打包方法
EXPORT;导出
PLEASE_WAIT;请稍等...
INVALID_SIZE_ERROR;无效尺寸. 最小值: %sx%s
NO_IMAGES_ERROR;请添加图片
CLEAR_WARNING;清除所有图像？
INVALID_ZIP_ERROR;无效的zip文件
NO_TINIFY_KEY_ERROR;请设置TinyPNG key https://tinypng.com/developers
TINIFY_ERROR;Tinify错误: %s
TINIFY_ERROR_COMMON;Tinify错误...
OLD_BROWSER_MESSAGE1;对不起，您的浏览器对这个应用程序来说太旧了...
OLD_BROWSER_MESSAGE2;请使用现代浏览器（新版的谷歌、火狐、Safari、Edge等）:
ABOUT_HOMEPAGE;首页:
ABOUT_SOURCES;源代码:
ABOUT_BUGS;Bug跟踪:
ABOUT_APPS;下载APP:
ABOUT_WEB;Web版本:
ABOUT_LIBS;使用库:
ABOUT_GULP_VERSION;Gulp模块:
ABOUT_WEBPACK_VERSION;Webpack插件:
ABOUT_CONTRIBUTORS;贡献者:
EXPORTER_ERROR;导出错误: %s
CUSTOM_EXPORTER_ERROR;模板错误: %s
FILE_EXT;文件扩展名:
DOCUMENTATION;文档
SAVE_CHANGES_CONFIRM;保存项目的更改?
MENU_FILE;文件
MENU_FILE_PROJECT_NEW;新建项目
MENU_FILE_PROJECT_LOAD;打开项目
MENU_FILE_PROJECT_LOAD_RECENT;打开最近
MENU_FILE_PROJECT_SAVE;保存项目
MENU_FILE_PROJECT_SAVE_AS;项目保存为...
MENU_FILE_PREFERENCES_SAVE;保存当前参数
MENU_FILE_INSTALL_CLI;命令行安装
MENU_FILE_EXIT;退出
MENU_ACTIONS;动作
MENU_ACTIONS_ADD_IMAGES;添加图片
MENU_ACTIONS_ADD_FOLDER;添加文件夹
MENU_ACTIONS_SELECT_ALL;选择全部
MENU_ACTIONS_DELETE;删除
MENU_ACTIONS_CLEAR;清除
MENU_ACTIONS_EXPORT;导出
MENU_TOOLS;工具
MENU_TOOLS_SPLITTER;分割精灵表
MENU_LANGUAGE;语言
MENU_HELP;帮助
MENU_HELP_ABOUT;关于
UPDATER_TITLE;可用新版本: %s
CLOSE;关闭
INSTALL;安装
SKIP_VERSION;跳过
SKIP_VERSION_CONFIRM;跳过这个版本，不再提醒？
CONTEXT_MENU_UNDO;撤消
CONTEXT_MENU_REDO;恢复
CONTEXT_MENU_CUT;剪切
CONTEXT_MENU_COPY;复制
CONTEXT_MENU_PASTE;粘贴
CONTEXT_MENU_DELETE;删除
CONTEXT_MENU_SELECT_ALL;选择全部
SPLIT;分割
SELECT_TEXTURE;纹理图
SELECT_DATA_FILE;数据文件
SPLITTER;分割精灵表
SPLITTER_ERROR_NO_FRAMES;精灵图没有找到，请检查文件格式是否正确。
HOLD_TRIM;保持整齐(修剪):